index,id,text,topic,emotion
800,1.46764E+18,"@afneil I call bs.

Have your own opinions naturally but you can’t have your own facts. 

Best of luck with the Pfizer jab btw, promoting it is reckless stupidity. 

Care to pony up the long term data?

https://t.co/FzYAURXOrR https://t.co/3HQ70SMdLr",pfizer-related,negative
801,1.46764E+18,US COVID-19 cases back to pre-vaccination levels – CIDRAP https://t.co/P1LpLH1UBB,political-related,neutral
802,1.46764E+18,@EpochTimes @American_Heart Sponsored by Pfizer,pfizer-related,positive
803,1.46764E+18,"@jesse03943128 @VoorhisRobin @PegLulu2 Idk Jesse because ""natural immunity"" from having covid doesn't protect well after 6 months or so, similar to the vaccine? That's one reason. I'm neither ""scared"" nor a ""sheep."" I leave the fear &amp; sheep label for the anti-vax, anti-mask people. Vaccinated aren't primary spreaders. https://t.co/hZvHqepJRe",political-related,neutral
804,1.46764E+18,"@Johnnyb27410117 @Polarbear165 @jamespetryk I obviously missed this response a couple of months ago, but immunity does not mean exempt in the world of medicine. Immunity means that your body recognizes the foreign object and can attack it with alacrity.   The vaccine primes your immune response covid.",vaccine-general-knowledge,positive
805,1.46764E+18,@EricTopol How much get from NIH and Pfizer again?,political-related,neutral
806,1.46764E+18,"@larrywilmore @BillSimmons Hi Larry,
1/Re race: Do you know who to ask whether it's OK to use the ""Matters"" part of the BLM message to say ""Black History Matters""? ⬇️
2/COVID- a Virginia voter suggested that CDC permit a vaccine exemption for someone who's already had COVID. Seems like a useful compromise https://t.co/EaWbF8nTjG",booster-related,neutral
807,1.46764E+18,"ICYMI: If the omicron variant of the coronavirus is different enough from the original variant, it’s possible that existing vaccines won’t be as effective as they have been. https://t.co/XFloAnyCQ9",vaccine-general-knowledge,neutral
808,1.46764E+18,"@muka990 @wasilalitaha Are you serious?
I personally saw the effects of
COVID-19 on vaccinated vs unvaccinated patients!
95%of those admitted, dying or seriously ill were unvaccinated
&amp; we have had ZERO admissions for complications of vaccine https://t.co/ONrTdL5vhB",vaccine-outlook-related,positive
809,1.46764E+18,"Italian man tries to dodge Covid vaccine wearing fake arm https://t.co/aj1blCssAU 
The bizarre episode at a vaccine hub in Biella, a town close to Turin in the northern Piedmont region....",other,neutral
