index,id,text,topic,emotion
0,1467644953589342210,@DavidGeekie @PhilsandJenn The Covid vaccine is a complete failure.,vaccine-outlook-related,negative
1,1467644950812794884,"@POTUS That’s it, eh? Nothing else? Interesting trusting in all that science and all. you think only Pfizer can help.",pfizer-related,negative
2,1467644950468771843,"@johncardillo Type pfizer criminal history into google. 
Its mandated you inject their product in our body.

""Pfizer has been a “habitual offender,” persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",pfizer-related,negative
3,1467644948820508677,"J.&amp;J. booster works well for people who had Pfizer originally, study finds. https://t.co/aW5H0RxmzR",booster-related,positive
4,1467644935654547458,@laurenboebert Didn't dear ol Donny say Covid would be gone..wall would be built..another term would be served...that windmills could cause cancer...that he created the vaccine...that the virus was nothing to fear...that he won the election... should we go on?,political-related,negative
5,1467644919019753475,@MamaWeasleyy Seemed like he meant end of year for 2-5 and beginning of next year for 6mo-2 years for data 🤷🏻‍♀️ that kind of matches what they presented at the Pfizer q3 meeting,pfizer-related,neutral
6,1467644917090594816,"@Breaking911 Type pfizer criminal history into google. 
Its mandated you inject their product in our body.

""Pfizer has been a “habitual offender,” persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",retweet,negative
7,1467644905392463874,The 🇵🇭 Left's response to the lockdowns and the private-sector mandates is why capitalism is winning. They have bought into the capitalist Narrative. They want the Pfizer for goodness' sake! (I still have hope for the unTwittered Left though. They may save 🇵🇭 leftism yet.),political-related,negative
8,1467644889974276097,"@jaxcarys @thenewZeus2 @atrupar Research out  of Great Brittian

They had a different strategy than ours

https://t.co/UeolQZSohh

https://t.co/E1yKPgTQ1X",other,neutral
9,1467644887965351936,"@GVDBossche Type pfizer criminal history into google. 
Its mandated you inject their product in our body.

""Pfizer has been a “habitual offender,” persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",retweet,negative
10,1467644879065042946,"@pfizer We already have those you nitwits!! HCQ and Ivermectin, which don’t make YOU money!!!!",pfizer-related,negative
11,1467644874279337986,"@Timcast Pfizer, Moderna will rake in a combined $93 billion next year on COVID-19 vaccine sales, on a bio-weapon funded by DoD, Fauci, Collins, Birx, NIH and NIAID, created by Baric Daszak, WIV,... and the Big Pharmacrats in DC...

Keep digging Tim.",political-related,negative
12,1467644862250074112,@afneil Exactly why take a risk when vaccine death is same risk as Covid death for youngsters - the main group that haven’t had it,vaccine-outlook-related,negative
