id,text,topic,emotion
1467644953589342210,@DavidGeekie @PhilsandJenn The Covid vaccine is a complete failure.,,
1467644950812794884,"@POTUS That’s it, eh? Nothing else? Interesting trusting in all that science and all. you think only Pfizer can help.",,
1467644950468771843,"@johncardillo Type pfizer criminal history into google. 
Its mandated you inject their product in our body.

""Pfizer has been a “habitual offender,” persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",,
1467644948820508677,"J.&amp;J. booster works well for people who had Pfizer originally, study finds. https://t.co/aW5H0RxmzR",,
1467644935654547458,@laurenboebert Didn't dear ol Donny say Covid would be gone..wall would be built..another term would be served...that windmills could cause cancer...that he created the vaccine...that the virus was nothing to fear...that he won the election... should we go on?,,
1467644919019753475,@MamaWeasleyy Seemed like he meant end of year for 2-5 and beginning of next year for 6mo-2 years for data 🤷🏻‍♀️ that kind of matches what they presented at the Pfizer q3 meeting,,
1467644917090594816,"@Breaking911 Type pfizer criminal history into google. 
Its mandated you inject their product in our body.

""Pfizer has been a “habitual offender,” persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",,
1467644905392463874,The 🇵🇭 Left's response to the lockdowns and the private-sector mandates is why capitalism is winning. They have bought into the capitalist Narrative. They want the Pfizer for goodness' sake! (I still have hope for the unTwittered Left though. They may save 🇵🇭 leftism yet.),,
1467644889974276097,"@jaxcarys @thenewZeus2 @atrupar Research out  of Great Brittian

They had a different strategy than ours

https://t.co/UeolQZSohh

https://t.co/E1yKPgTQ1X",,
1467644887965351936,"@GVDBossche Type pfizer criminal history into google. 
Its mandated you inject their product in our body.

""Pfizer has been a “habitual offender,” persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",,
1467644879065042946,"@pfizer We already have those you nitwits!! HCQ and Ivermectin, which don’t make YOU money!!!!",,
1467644874279337986,"@Timcast Pfizer, Moderna will rake in a combined $93 billion next year on COVID-19 vaccine sales, on a bio-weapon funded by DoD, Fauci, Collins, Birx, NIH and NIAID, created by Baric Daszak, WIV,... and the Big Pharmacrats in DC...

Keep digging Tim.",,
1467644862250074112,@afneil Exactly why take a risk when vaccine death is same risk as Covid death for youngsters - the main group that haven’t had it,,
1467644853639122952,"@RWMaloneMD Can you clarify if you are talking about reinfection in 1. unvaccinated people who’ve had Covid, 2. vaccinated people who have had Covid prior to vaccination and/or 3. people who were vaccinated 1st and then got Covid and now have Omicron?",,
1467644853429415938,finally got my 3rd covid booster! two no-shows &amp; vaccine was expiring within the hour &amp; we were lucky enough to also get a walk-in,,
1467644852447989762,"@reuvenmlerner @amandaripley @praddenkeefe @chouser And  2) Have you looked at any of the information in the docs the court forced Pfizer to release and the numbers of Adverse Effects, including deaths, they saw?",,
1467644852217151492,"Pfizer Adverse reactions Cumulative Case Totals

November Projections

Pericarditis
Myocarditis
Tachycardia
Troponin Increase
Seizure
Deep Vein Thrombosis
Pulmonary Embolism https://t.co/1G8uNIorDh",,
1467644852087271435,"How can the government claim that the Covid-19 vaccination programme is a ""phenomenal success"" when only 69.4% of the UK population is fully vaccinated 12 months after the vaccination programme began.

https://t.co/BAJizAkV2l",,
1467644838392778754,AdventHealth suspends COVID-19 vaccine mandate for employees https://t.co/VpBRCgUAX1,,
1467644837579137036,"@richbuster @StacheBitcoin @POTUS There were never any promises the vaccine would stop you from getting covid. Never. They said the vaccine will help keep you from going to the hospitals, having long term effects, or dying. That's good enough for me. Whoever lied to you is probably lying about everything else too",,
