,id,text,topic,emotion
0,1.467644955774505e+18,"@denverpost #Death &amp; #Myocarditis 

Parents: Australia forcibly vaccinated the Children.

This is what happened.

Vaccine Adverse Events for Australian kids15 years &amp; younger in just 1 month (Oct to Nov). 9587 reports in total overall age groups w/ 77 reported Deaths

https://t.co/HzdZ0YHTU6",,
1,1.4676449535893422e+18,@DavidGeekie @PhilsandJenn The Covid vaccine is a complete failure.,,
2,1.467644950812795e+18,"@POTUS That’s it, eh? Nothing else? Interesting trusting in all that science and all. you think only Pfizer can help.",,
3,1.4676449504687718e+18,"@johncardillo Type pfizer criminal history into google. 
Its mandated you inject their product in our body.

""Pfizer has been a “habitual offender,” persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",,
4,1.4676449488205087e+18,"J.&amp;J. booster works well for people who had Pfizer originally, study finds. https://t.co/aW5H0RxmzR",,
5,1.4676449356545475e+18,@laurenboebert Didn't dear ol Donny say Covid would be gone..wall would be built..another term would be served...that windmills could cause cancer...that he created the vaccine...that the virus was nothing to fear...that he won the election... should we go on?,,
6,1.4676449317494743e+18,"@CDCgov #Death &amp; #Myocarditis 

Parents: Australia forcibly vaccinated the Children.

This is what happened.

Vaccine Adverse Events for Australian kids15 years &amp; younger in just 1 month (Oct to Nov). 9587 reports in total overall age groups w/ 77 reported Deaths

https://t.co/HzdZ0YHTU6",,
7,1.4676449312042844e+18,"@Jistal21 @GAddy55340750 @catherine___c It's pretty much the domain of personality types who like to control their child's upbringing without interference from the state and community wellbeing  eg vaccination, secularism etc....",,
8,1.4676449238979543e+18,@akheriaty Vaccine doesn’t work that’s why!,,
9,1.4676449236672635e+18,@afneil The vaccine used to be 100% safe. Now we know there not. They used to stop infection and transmission now they don't. We only needed 1 or 2 now we need more. There is no long damage from taking then now they are not sure,,
10,1.4676449232602726e+18,"@CaroDiRusso Not sure I agree with you on that one Caroline, I think the vaccine &amp; the government control go hand in hand!
https://t.co/ZIyeTO9DAt",,
11,1.4676449204249805e+18,@KerriJersey There is 2 guys at work that shoot up with roids but no the vaccine is poison. F_cking douche canoes.,,
12,1.4676449190197535e+18,@MamaWeasleyy Seemed like he meant end of year for 2-5 and beginning of next year for 6mo-2 years for data 🤷🏻‍♀️ that kind of matches what they presented at the Pfizer q3 meeting,,
13,1.4676449189360558e+18,"@DaveBSafe @friendlybluff @RossDyerTV @StigAbell Sorry, but that is just not true at all. Nobody ever said that vaccines stop infection entirely. 'Prevention' does not equate to sterilising immunity, which is what you seem to think we were sold. No vaccine has EVER achieved sterilising immunity, that being a total viral block.",,
14,1.4676449184034202e+18,"@JeromeAdamsMD Vaccine or past transmission create T-cell immunity, which are good at protecting against severe disease and death. The mutations of the virus very likely make it more successful against antibody activities, but it seems like there may well be preservation of the T-cell immunity.",,
15,1.4676449179419443e+18,@drmikehart Scott Moe said the point of the proof of vaccination was to increase vaccine update in our province.,,
16,1.4676449170905948e+18,"@Breaking911 Type pfizer criminal history into google. 
Its mandated you inject their product in our body.

""Pfizer has been a “habitual offender,” persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",,
17,1.4676449167717868e+18,"As more information on Omicron comes in, restrictions are going to ease, not increase. Push for vaccination will be maintained. 
https://t.co/y1ovlbX1eM",,
18,1.4676449159454556e+18,"@toryboypierce You know you are lying, and we know you are lying, so why spread this misinformation to create division and hate? https://t.co/NiXreqaLWQ https://t.co/xWJiQPTddV",,
19,1.4676449142257418e+18,@hlamb61 @GVDBossche @VictorianCHO The vaccine doesn't work. #FJB,,
20,1.4676449091968246e+18,@_SirWilliam_ People weh get mind to houd indomie in the middle of a pandemic get mind dey ask for equal sharing of vaccine e no go better for african leaders i swear,,
21,1.467644907397464e+18,"@business @BW close the world health organization as number 1 priority, their existence don't have any sense because countries obey only ""partially"" to their memo, for example ignoring the rule that vaccination during pandemic must be only in official state of emergency",,
22,1.467644905556222e+18,"@LAussieBoy @PhilsandJenn The American Heart Association:

We conclude that the mRNA vacs dramatically increase inflammation on the endothelium &amp; T cell infiltration of cardiac muscle &amp; may account for the observations of increased thrombosis, cardiomyopathy, &amp; other vascular events following vaccination.",,
23,1.467644905392464e+18,The 🇵🇭 Left's response to the lockdowns and the private-sector mandates is why capitalism is winning. They have bought into the capitalist Narrative. They want the Pfizer for goodness' sake! (I still have hope for the unTwittered Left though. They may save 🇵🇭 leftism yet.),,
24,1.467644905358971e+18,"@JeffcoPH #Death &amp; #Myocarditis 

Parents: Australia forcibly vaccinated the Children.

This is what happened.

Vaccine Adverse Events for Australian kids15 years &amp; younger in just 1 month (Oct to Nov). 9587 reports in total overall age groups w/ 77 reported Deaths

https://t.co/HzdZ0YHTU6",,
25,1.467644902901117e+18,@KiwiPom6 @_T0M_V_ @TheGanttGuy @ajthompson13 This isn’t the point I am making. I’m not arguing about the likelihood of transmission from an infected person - vaccinated or not. My point is an unvaccinated person is more likely to be infected in the FIRST place. See below: the vaccine ‘reduces the risk of getting infected’ https://t.co/73TIPspewW,,
26,1.4676448955486536e+18,"@JeromeAdamsMD Vaccine or past transmission create T-cell immunity, which are good at protecting against severe disease and death. The mutations of the virus very likely make it more successful against antibody activities, but it seems like there may well be preservation of the T-cell immunity.",,
27,1.4676448930572e+18,@RepThomasMassie The vaccination rate is so bad because the stupid idiots of Republicans refuse it instead of realizing how important it is.,,
28,1.467644889974276e+18,"@jaxcarys @thenewZeus2 @atrupar Research out  of Great Brittian

They had a different strategy than ours

https://t.co/UeolQZSohh

https://t.co/E1yKPgTQ1X",,
29,1.467644887965352e+18,"@GVDBossche Type pfizer criminal history into google. 
Its mandated you inject their product in our body.

""Pfizer has been a “habitual offender,” persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",,
30,1.4676448858051256e+18,"@jljcolorado #Death &amp; #Myocarditis 

Parents: Australia forcibly vaccinated the Children.

This is what happened.

Vaccine Adverse Events for Australian kids15 years &amp; younger in just 1 month (Oct to Nov). 9587 reports in total overall age groups w/ 77 reported Deaths

https://t.co/HzdZ0YHTU6",,
31,1.4676448842869473e+18,"@PattyMcastaldi @unstadj @ZeekArkham Antibodies wane whether acquired naturally or through vaccination. It's just fact. Of course, you have the right to do as you please but don't assume you're protected FOREVER.",,
32,1.4676448806713098e+18,me when I was accidentally about to show a gay fanart instead of my vaccine passport to some lady https://t.co/ZXISOopPqf,,
33,1.467644879065043e+18,"@pfizer We already have those you nitwits!! HCQ and Ivermectin, which don’t make YOU money!!!!",,
34,1.467644874279338e+18,"@Timcast Pfizer, Moderna will rake in a combined $93 billion next year on COVID-19 vaccine sales, on a bio-weapon funded by DoD, Fauci, Collins, Birx, NIH and NIAID, created by Baric Daszak, WIV,... and the Big Pharmacrats in DC...

Keep digging Tim.",,
35,1.467644874073776e+18,"@TCdouble11 @dmarshalltruth If you're in a hotel , you would have to have the vaccination passport when implemented.",,
36,1.4676448715612652e+18,@nahumstweets @bennyjohnson I know several people that got polio because of the polio vaccine.,,
37,1.467644862250074e+18,@afneil Exactly why take a risk when vaccine death is same risk as Covid death for youngsters - the main group that haven’t had it,,
38,1.467644862031745e+18,@Buddy3880309 The vaccine doesn't work. #FJB,,
39,1.467644861989933e+18,@RWMaloneMD is it true you said we should not take the vaccine despite you being the inventor?,,
