id,topic,text,topic,emotion
1.47E+18,vaccine-outlook-related,@DavidGeekie @PhilsandJenn The Covid vaccine is a complete failure.,covid,
1.47E+18,pfizer-related,"@POTUS That_Ñés it, eh? Nothing else? Interesting trusting in all that science and all. you think only Pfizer can help.",,
1.47E+18,pfizer-related,"@johncardillo Type pfizer criminal history into google. Its mandated you inject their product in our body.""Pfizer has been a _ÑÒhabitual offender,_Ñù persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",,
1.47E+18,booster-related,"J.&amp;J. booster works well for people who had Pfizer originally, studyë_finds. https://t.co/aW5H0RxmzR",,
1.47E+18,political-related,@laurenboebert Didn't dear ol Donny say Covid would be gone..wall would be built..another term would be served...that windmills could cause cancer...that he created the vaccine...that the virus was nothing to fear...that he won the election... should we go on?,,
1.47E+18,pfizer-related,@MamaWeasleyy Seemed like he meant end of year for 2-5 and beginning of next year for 6mo-2 years for data _ª_ˆ_ªè__Ñç_éÑ«ôè that kind of matches what they presented at the Pfizer q3 meeting,,
1.47E+18,,"@Breaking911 Type pfizer criminal history into google. Its mandated you inject their product in our body.""Pfizer has been a _ÑÒhabitual offender,_Ñù persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",,
1.47E+18,political-related,The _ª_µ_ª__ Left's response to the lockdowns and the private-sector mandates is why capitalism is winning. They have bought into the capitalist Narrative. They want the Pfizer for goodness' sake! (I still have hope for the unTwittered Left though. They may save _ª_µ_ª__ leftism yet.),,
1.47E+18,other,"@jaxcarys @thenewZeus2 @atrupar Research out  of Great BrittianThey had a different strategy than ourshttps://t.co/UeolQZSohhhttps://t.co/E1yKPgTQ1X",,
1.47E+18,,"@GVDBossche Type pfizer criminal history into google. Its mandated you inject their product in our body.""Pfizer has been a _ÑÒhabitual offender,_Ñù persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",,
1.47E+18,pfizer-related,"@pfizer We already have those you nitwits!! HCQ and Ivermectin, which don_Ñét make YOU money!!!!",,
1.47E+18,political-related,"@Timcast Pfizer, Moderna will rake in a combined $93 billion next year on COVID-19 vaccine sales, on a bio-weapon funded by DoD, Fauci, Collins, Birx, NIH and NIAID, created by Baric Daszak, WIV,... and the Big Pharmacrats in DC...Keep digging Tim.",,
1.47E+18,vaccine-outlook-related,@afneil Exactly why take a risk when vaccine death is same risk as Covid death for youngsters - the main group that haven_Ñét had it,,
1.47E+18,vaccine-general-knowledge,"@RWMaloneMD Can you clarify if you are talking about reinfection in 1. unvaccinated people who_Ñéve had Covid, 2. vaccinated people who have had Covid prior to vaccination and/or 3. people who were vaccinated 1st and then got Covid and now have Omicron?",,
1.47E+18,booster-related,finally got my 3rd covid booster! two no-shows &amp; vaccine was expiring within the hour &amp; we were lucky enough to also get a walk-in,,
1.47E+18,pfizer-related,"@reuvenmlerner @amandaripley @praddenkeefe @chouser And  2) Have you looked at any of the information in the docs the court forced Pfizer to release and the numbers of Adverse Effects, including deaths, they saw?",,
1.47E+18,vaccine-general-knowledge,"Pfizer Adverse reactions Cumulative Case TotalsNovember ProjectionsPericarditisMyocarditisTachycardiaTroponin IncreaseSeizureDeep Vein ThrombosisPulmonary Embolism https://t.co/1G8uNIorDh",,
1.47E+18,political-related,"How can the government claim that the Covid-19 vaccination programme is a ""phenomenal success"" when only 69.4% of the UK population is fully vaccinated 12 months after the vaccination programme began.https://t.co/BAJizAkV2l",,
1.47E+18,political-related,AdventHealth suspends COVID-19 vaccine mandate for employees https://t.co/VpBRCgUAX1,,
1.47E+18,vaccine-general-knowledge,"@richbuster @StacheBitcoin @POTUS There were never any promises the vaccine would stop you from getting covid. Never. They said the vaccine will help keep you from going to the hospitals, having long term effects, or dying. That's good enough for me. Whoever lied to you is probably lying about everything else too",,
1.47E+18,pfizer-related,@kanzlerflorian @piskomusic @EMA_News @EU_Health @EU_Commission Nope Its under EUA in Europe as well. Pfizer for adults is the only one that passed fully.,,
1.47E+18,side-effect-related,"What gets me, you can be vaccinated as many times as you want.... But the vaccinated can STILL GET COVID, STILL PASS IT ON PLUS WE KNOW NOTHING HOW THE VACCINE AFFECTS OUR BODIES! IT COULD BE A NIGHTMARE AWAITING TO HAPPEN!_ªÉå https://t.co/lCFmb7fNE7",,
1.47E+18,vaccine-outlook-related,".......16% since vaccine roll out so the deaths aren't due to the 10% unvaccinated dying of covid.What are they dying of?",,
1.47E+18,,"@disclosetv Type pfizer criminal history into google. Its mandated you inject their product in our body.""Pfizer has been a _ÑÒhabitual offender,_Ñù persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",,
1.47E+18,political-related,#Infodemics &amp; political #ideologies . _ÑÒPro-Trump counties now have far higher #COVID death rates_Ñù : Shots - Health News : NPR https://t.co/4eqpJLKRki,,
1.47E+18,side-effect-related,"Over 42,000 Adverse Reaction Reports Revealed In First Batch Of Pfizer Vax Docshttps://t.co/W4khWqZO7z",,
1.47E+18,pfizer-related,"_ª¥__ª¥__ª¥__ªê‚_ªê‚_ªê‚Rattana Sarakarn: 54-Year-Old Dies 3 Days After Receiving Pfizer COVID-19 Vaccine, Family Seeks Answershttps://t.co/7BLRbOnLQz https://t.co/z2OrgZFIRJ",,
1.47E+18,political-related,@Fender56Graham So your opinion is segregate and discriminate people who refuse the vaccine. I'm sure China would welcome you with open arms. When they had leukemia any virus or disease is life threatening. 0.5% to 1% death rate from covid.,,
1.47E+18,work-related,"@TigerDogB @rick_pittman I literally just had covid last month. I have a higher chance of adverse reactions from the vaccine at this point. My employer didn_Ñét care and suspended me, although I work from home.",,
1.47E+18,political-related,@cigarsalesman @akheriaty The same all cause fatality rates were consistent year over year for the first two months of 2020; slightly reduced during Covid hysteria months 03.2020&gt;06.2021. Now climbing since vaccine coercion became in vogue. Not a coincidence to say the least; all planned long before.,,
1.47E+18,political-related,"@HumanRights4UK @StigAbell US Court orders release after FOIA request was made by a govt accountability group called Public Health and Medical Professionals for Transparency. First few pages of Pfizer Doc shows TENS OF THOUSANDS of reported adverse reactions, incl. 1200 deaths IN THE FIRST # MONTHS. https://t.co/XMkjGpClk5",,
1.47E+18,political-related,Everyone needs to ring and email our politicians make them aware they are culpable in jaxing kids_ªÉÎ Use Vietnam _ª___ª__ as example and release of Pfizer documents as to why they are doing this_ª¥__ªè__ÒÔ«ôè,,
1.47E+18,,"@USlawreview Type pfizer criminal history into google. Its mandated you inject their product in our body.""Pfizer has been a _ÑÒhabitual offender,_Ñù persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",,
1.47E+18,pfizer-related,_ÑÉWall of secrecy_Ñé in Pfizer contracts as company accused of profiteering - The Guardian https://t.co/elJlJnl7jC,,
1.47E+18,other,@JacquelineWxxx @Bob36783646 @PvanHouwelingen @FleurAgemaPVV @IkNet @BorgerPieter COVID-19 is.. COrona Vaccination IDentification 2019,,
1.47E+18,booster-related,"@Breaking911 So, let me try to understand since I_Ñém not as smart as the _ÑÒSurgeon General_Ñù. If I get _ÑÒvaccinated and boosted_Ñù I can live as if I_Ñém not vaccinated and boosted. And I can still catch, give, be hospitalized and die from Covid. Not a strong argument to take the deadly vaccine_Ñ_",,
1.47E+18,booster-related,"@toemodelcitizen @TheBadGod @Timcast So when you gonna start questioning why you need so many shots to fight covid? Or why they changed the definition on ""vaccine""?",,
1.47E+18,political-related,"@AlphaNewsMN Can we talk about how Immunology 101 has prevailed over MAGA world?https://t.co/DvrWVwcemc",,
1.47E+18,political-related,Pro-Trump counties now have far higher COVID death rates. Misinformation is to blame.  https://t.co/m0FYhpVJoD,,
1.47E+18,vaccine-outlook-related,@LarsLarsonShow @POTUS Then it clearly is not a vaccine. Because if it was a vaccine there would be immunity and this whole covid scene would have been over 12 months ago.,,
1.47E+18,vaccine-outlook-related,"@djlange @Pcr_Hayir Vaccine is new God. Worship it, obey it, don't tell anything negative about it. This is new religion we are forced to believe. Btw, covid-19 is not real, it is fake. Deaths are fake, spread is fake, media is fake.",,
1.47E+18,pfizer-related,The latest package leaflet for Comirnaty (Pfizer) now mentions myocariditis and pericarditis but says it is very rare. I would love to know their definition of 'very rare' https://t.co/opTqlyBQUh,,
1.47E+18,vaccine-general-knowledge,"Your vaccination status isn_Ñét going to reduce your interactions with COVID. It may stop you getting very sick though if you_Ñére at risk. Sorry to be the one to tell you this, but at some point you_Ñére gonna come into contact with COVID vaccinated or not. Shock_Ñ_Horror_Ñ__ªéÑ https://t.co/tULMmEA0Is",,
1.47E+18,vaccine-outlook-related,"@RaeAnne8 @FrancaRose33 Some are. Adults get to make their own choices. Even ones I don't think are wise.Had an immediate family member not vaccinate and got Covid, spent some hospital time. Two others got Covid pre-vaccine and were just fine.  Others have vaccine reactions.",,
1.47E+18,pfizer-related,"Just passing by &amp; thought I would say goodnight to u all... I think I've exhausted every goodnight gif so I'll be trying new ones... am going to bed early tonight as I'm so tired... I feel fine in myself but it's just tired me out, pfizer mixed with fibromyalgia not a good combo https://t.co/gK0FNPNVaq",,
1.47E+18,vaccine-outlook-related,@VABVOX @EmmaPeele3 Everyone in my family is double vaccinated and we_Ñéve also got the booster. To anyone who still refuses to get vaccinated or boosted because they don_Ñét trust the vaccine or they feel COVID is fake or whatever I say fine go ahead. COVID is modern day Darwinism.,,
1.47E+18,other,@Porti86862233 @__gotcha @Grumpyolddaddy @OliverTheUnique @M_B_Petersen @chrischirp @EricTopol @DrEricDing Hint: what is the major difference between this version of polio vaccine still used in developing countries vs all of the COVID-19 vaccines.,,
1.47E+18,pfizer-related,@emmaesmaily @POTUS What is a Pfizer x3?,,
1.47E+18,pfizer-related,@voss749 @jmach913 That's right. An opposite like Pfizer would be recommended.,,
1.47E+18,political-related,"The COVID - 19/mass 'vaccination' global rollout. Is a depopulaion, sterilization and slow kill program. The few people that control this planet in league with Satan, hate us and want most of us dead.",,
1.47E+18,pfizer-related,@GhostofJCook @SteelKing4Ever @Patriot13777123 You missed  Pfizer and FDA refusing to show their clinical report until the year 2076. the FOIA released documents showing 1200+ deaths and 100s of 1000s adverse reactions in 90 days. My friend_Ñés employee_Ñés 6 year old son recently had a heart attack after shot. It_Ñés happening.,,
